Date,Revenue
2024-02-01,1598.62
2024-02-02,2805.76
2024-02-03,4117.79
2024-02-04,4242.2
2024-02-05,2690.2
2024-02-06,2017.16
2024-02-07,1437.2
2024-02-08,4930.72
2024-02-09,2236.46
2024-02-10,3261.95
2024-02-11,4200.93
2024-02-12,4268.52
2024-02-13,4028.57
2024-02-14,1968.21
2024-02-15,1389.43
2024-02-16,4308.48
2024-02-17,2463.03
2024-02-18,4633.83
2024-02-19,3451.16
2024-02-20,1451.21
2024-02-21,2748.53
2024-02-22,2571.29
2024-02-23,1266.6
2024-02-24,2605.35
2024-02-25,2956.88
2024-02-26,3419.73
2024-02-27,4362.99
2024-02-28,3157.17
2024-02-29,2788.73
