Date,Revenue
2024-01-01,4303.15
2024-01-02,4770.4
2024-01-03,1493.74
2024-01-04,4413.95
2024-01-05,1977.69
2024-01-06,1111.74
2024-01-07,2856.79
2024-01-08,2291.2
2024-01-09,1942.18
2024-01-10,1761.91
2024-01-11,4662.12
2024-01-12,2784.91
2024-01-13,3314.21
2024-01-14,3602.65
2024-01-15,1958.59
2024-01-16,1250.0
2024-01-17,2541.55
2024-01-18,2692.3
2024-01-19,1468.58
2024-01-20,2545.8
2024-01-21,4021.61
2024-01-22,2375.52
2024-01-23,4977.37
2024-01-24,1423.64
2024-01-25,4432.97
2024-01-26,3569.83
2024-01-27,3323.65
2024-01-28,3999.09
2024-01-29,3551.63
2024-01-30,3721.89
2024-01-31,1522.64
