Date,Revenue
2024-02-01,2055.52
2024-02-02,4808.4
2024-02-03,3608.85
2024-02-04,1255.05
2024-02-05,3538.63
2024-02-06,1136.97
2024-02-07,4731.31
2024-02-08,2969.31
2024-02-09,3315.83
2024-02-10,2290.47
2024-02-11,3024.12
2024-02-12,4727.79
2024-02-13,2603.65
2024-02-14,2728.41
2024-02-15,1255.48
2024-02-16,3757.63
2024-02-17,2235.48
2024-02-18,3059.4
2024-02-19,4872.06
2024-02-20,2343.01
2024-02-21,2921.79
2024-02-22,2785.01
2024-02-23,3978.44
2024-02-24,4555.81
2024-02-25,2083.47
2024-02-26,2598.12
2024-02-27,1570.13
2024-02-28,1324.1
2024-02-29,3682.15
