Date,Revenue
2024-01-01,2205.45
2024-01-02,2642.98
2024-01-03,4811.74
2024-01-04,1909.52
2024-01-05,2693.58
2024-01-06,3860.16
2024-01-07,2451.58
2024-01-08,2808.14
2024-01-09,1621.79
2024-01-10,1179.81
2024-01-11,1646.94
2024-01-12,3783.96
2024-01-13,3853.96
2024-01-14,4479.3
2024-01-15,2349.12
2024-01-16,1935.19
2024-01-17,2301.8
2024-01-18,1386.38
2024-01-19,1284.82
2024-01-20,4258.42
2024-01-21,3228.82
2024-01-22,1910.03
2024-01-23,1894.63
2024-01-24,1043.85
2024-01-25,4709.84
2024-01-26,4098.02
2024-01-27,1836.92
2024-01-28,2036.15
2024-01-29,3076.88
2024-01-30,4344.03
2024-01-31,4943.37
